mean_absolute_error,mean_square_error,mean_absolute_percentage_error,log_poisson_loss,r_square
1.2399564981460571,2.3787763118743896,313.1423034667969,1.9783817529678345,-90536.5234375
1.5187995433807373,3.4126155376434326,389.3502197265625,4.0454325675964355,-116431.6796875
1.329638123512268,2.819093942642212,331.7654113769531,3.1259586811065674,-93827.4609375
1.1326847076416016,1.9770749807357788,277.535888671875,1.7964609861373901,-71934.0078125
1.3705333471298218,2.697967052459717,317.8815002441406,2.7912845611572266,-96586.25
1.147533655166626,2.0061194896698,286.7817687988281,1.8436894416809082,-69384.640625
1.100350022315979,1.8241742849349976,258.3401794433594,1.7013393640518188,-64545.49609375
1.09864342212677,1.8810291290283203,293.47943115234375,1.2722282409667969,-61846.83203125
1.2263529300689697,2.26823353767395,323.7433776855469,1.7206542491912842,-69780.78125
1.3025033473968506,2.6774606704711914,343.0395202636719,2.33174467086792,-85606.984375
1.1476891040802002,1.9582240581512451,270.4538879394531,1.7784652709960938,-69403.1953125
1.0715559720993042,1.7325292825698853,264.4139404296875,1.548221230506897,-57896.06640625
1.2774662971496582,2.4688446521759033,304.3203430175781,2.670877456665039,-84472.0390625
1.266219139099121,2.449612617492676,314.4880065917969,2.041828155517578,-80947.8515625
1.179689645767212,2.05897855758667,274.82147216796875,1.905279517173767,-73950.5
1.1096112728118896,1.900344729423523,267.31439208984375,1.8890928030014038,-68844.0703125
0.8503677248954773,1.1535931825637817,242.34849548339844,0.49839338660240173,-33326.00390625
1.0497958660125732,1.6515358686447144,261.5950012207031,1.291963815689087,-53804.84375
1.1523473262786865,2.0128612518310547,285.8779296875,1.8484277725219727,-70084.078125
1.1858718395233154,2.1607837677001953,282.5464172363281,2.0497825145721436,-72642.1796875
0.9326350092887878,1.3304986953735352,235.6313934326172,0.9483094215393066,-41483.05078125
0.8982167840003967,1.2471293210983276,238.43447875976562,0.848682701587677,-39678.24609375
0.9965013265609741,1.5128562450408936,250.7550048828125,1.0172638893127441,-49368.28125
1.0434832572937012,1.6172515153884888,255.389892578125,1.3919824361801147,-54994.51953125
0.9472018480300903,1.384407877922058,232.17848205566406,1.094489336013794,-43712.34765625
1.118230938911438,2.057321786880493,286.2731018066406,2.120002269744873,-71285.6953125
1.0392601490020752,1.8217508792877197,285.8001403808594,1.2919986248016357,-51115.36328125
1.0261565446853638,1.6003919839859009,268.1372375488281,0.834884524345398,-44411.07421875
0.8951511979103088,1.2490237951278687,224.80657958984375,0.9391834139823914,-39587.57421875
1.0631227493286133,1.6730166673660278,264.0907287597656,1.2446582317352295,-52927.78125
0.9528607130050659,1.425750970840454,278.53546142578125,0.23655208945274353,-32680.84375
1.0163191556930542,1.6114143133163452,265.1743469238281,0.9761549830436707,-46792.484375
0.9713082909584045,1.4569936990737915,260.4761657714844,0.7486003637313843,-42087.5625
0.9523372650146484,1.4817830324172974,262.18170166015625,0.8926640152931213,-45592.125
0.9313371777534485,1.3390414714813232,248.61135864257812,0.8926507830619812,-41871.76171875
0.9093466997146606,1.285834789276123,237.4239044189453,0.707075297832489,-37438.73828125
1.0828816890716553,1.9039751291275024,265.5310974121094,1.8583617210388184,-65229.12109375
1.1354397535324097,2.060344696044922,295.875,0.8716726303100586,-62779.06640625
1.0732280015945435,1.8727079629898071,261.40338134765625,1.756742000579834,-61093.1875
1.0349172353744507,1.6474297046661377,279.47576904296875,0.7980207204818726,-47073.31640625
0.8950520157814026,1.2306493520736694,236.1288604736328,0.6934028267860413,-38138.80078125
0.8355421423912048,1.0855395793914795,233.08409118652344,0.5577250719070435,-30994.080078125
1.070738673210144,1.8742759227752686,303.79833984375,0.8253967761993408,-52378.28515625
0.9676120281219482,1.4742350578308105,255.3895263671875,0.8553904891014099,-42465.62890625
0.8896109461784363,1.2473630905151367,243.14529418945312,0.7008615732192993,-41077.875
0.8750021457672119,1.209059238433838,243.7353973388672,0.5511906743049622,-36021.8203125
0.952387809753418,1.3890597820281982,259.18353271484375,0.6941778063774109,-39448.19921875
0.925714910030365,1.3313339948654175,265.7687683105469,0.5078887939453125,-35582.1171875
0.9340784549713135,1.3387576341629028,233.7446746826172,0.8668124079704285,-41519.73046875
