loss,val_loss
0.48405393958091736,0.2350979447364807
0.1263807862997055,0.06241585686802864
0.06846348941326141,0.05408652126789093
0.061566323041915894,0.053511980921030045
0.05982168763875961,0.05061514303088188
0.058360569179058075,0.04723462089896202
0.05738290399312973,0.04825509712100029
0.056651316583156586,0.04992334917187691
0.05617158114910126,0.04613616317510605
0.05571915581822395,0.04477929323911667
0.054336000233888626,0.0434265173971653
0.05498979613184929,0.043978333473205566
0.05333809554576874,0.0450432226061821
0.0524279959499836,0.044219959527254105
0.05357005447149277,0.04252517968416214
0.052998051047325134,0.04353175684809685
0.052021440118551254,0.042192552238702774
0.05179746076464653,0.042017124593257904
0.051018621772527695,0.04538865014910698
0.051365941762924194,0.041420068591833115
0.05187981575727463,0.04290975630283356
0.05111248046159744,0.04324077442288399
0.050600260496139526,0.044759973883628845
0.050371646881103516,0.04483715072274208
0.05069373548030853,0.04686172306537628
0.04991328716278076,0.04521500691771507
0.04998129978775978,0.042962685227394104
0.04962457716464996,0.04198100045323372
0.04959185793995857,0.04200201481580734
0.04900585487484932,0.04227150231599808
0.049277398735284805,0.041341036558151245
0.04950755834579468,0.0418238639831543
0.04924377053976059,0.04298916831612587
0.04933655634522438,0.042011428624391556
0.04878895729780197,0.04290454462170601
0.048732560127973557,0.04412069544196129
0.04855867475271225,0.04285098984837532
0.04834617301821709,0.0418599471449852
0.0490553043782711,0.04156769812107086
0.0492374487221241,0.04115001857280731
0.0494275726377964,0.04242074117064476
0.0481853149831295,0.044261619448661804
0.04770670458674431,0.042802900075912476
0.04776773601770401,0.04366198927164078
0.047984663397073746,0.04348321631550789
0.04834721237421036,0.04418020695447922
0.048004474490880966,0.04290620982646942
0.047404903918504715,0.047077473253011703
0.047948744148015976,0.045745424926280975
0.04692406207323074,0.044645361602306366
0.04698294773697853,0.042943693697452545
0.04657989740371704,0.046516768634319305
0.047833025455474854,0.046455904841423035
0.04689566045999527,0.044237226247787476
0.04662298411130905,0.043211955577135086
0.04690428078174591,0.04245103523135185
0.04686382785439491,0.043761737644672394
0.046096183359622955,0.042979199439287186
0.04611368849873543,0.04338426887989044
0.04584610462188721,0.04297354444861412
0.04653843492269516,0.044629257172346115
0.04614448547363281,0.04286790266633034
0.04601926729083061,0.043852224946022034
0.04571293294429779,0.042459163814783096
0.04643680900335312,0.042707718908786774
0.04595625028014183,0.0427839569747448
0.04577609896659851,0.0435037687420845
0.046209339052438736,0.044720739126205444
0.04558812081813812,0.044432949274778366
0.04576138034462929,0.04219236224889755
0.04535551369190216,0.04255310446023941
0.045898448675870895,0.043709006160497665
0.04468546062707901,0.044790204614400864
0.045009318739175797,0.043522171676158905
0.04481588304042816,0.04855431243777275
0.0442027822136879,0.042986754328012466
0.044172853231430054,0.04519018903374672
0.04423760995268822,0.04470253735780716
0.04426627233624458,0.046479418873786926
0.044942546635866165,0.0436583012342453
0.04391663521528244,0.04534170404076576
0.04401478171348572,0.046028830111026764
0.04543279483914375,0.04437661170959473
0.04467102885246277,0.0444064624607563
0.04605674371123314,0.047925520688295364
0.04504827409982681,0.04592929780483246
0.045560531318187714,0.04788845032453537
0.044573016464710236,0.04507259652018547
0.044081348925828934,0.04528268054127693
0.04358219355344772,0.04495898634195328
0.043290819972753525,0.04486723244190216
0.0433737114071846,0.04585491120815277
0.04274360463023186,0.04544827714562416
0.04318591207265854,0.04571361839771271
0.04346882551908493,0.046963877975940704
0.04266725480556488,0.04694860801100731
0.04464571177959442,0.04818969964981079
0.04296702891588211,0.04520701989531517
0.04362378641963005,0.047246165573596954
0.04311932250857353,0.04494155943393707
0.042235106229782104,0.044158242642879486
0.04167928174138069,0.04549320414662361
0.041341301053762436,0.04957173019647598
0.04236013814806938,0.04515863582491875
0.0415276400744915,0.04857383295893669
0.04250689223408699,0.04465663805603981
0.04191317409276962,0.05236901715397835
0.043300047516822815,0.04681839048862457
0.041427694261074066,0.04535523056983948
0.0409647673368454,0.04826599359512329
0.04106177017092705,0.04446696862578392
0.041242022067308426,0.05251436308026314
0.04054567217826843,0.046997155994176865
0.040040597319602966,0.046627115458250046
0.03986134007573128,0.04907950013875961
0.0397077351808548,0.04897996783256531
0.03877640515565872,0.04665533825755119
0.03947155922651291,0.049503393471241
0.04066363349556923,0.04855412617325783
0.03937150165438652,0.04855756834149361
0.03902405500411987,0.04863887280225754
0.039058711379766464,0.04852845147252083
0.03803187608718872,0.05291915684938431
0.0384439080953598,0.0526813305914402
0.03897745534777641,0.048756733536720276
0.038447484374046326,0.04978472739458084
0.038535185158252716,0.050943683832883835
0.03836888447403908,0.049420375376939774
0.03716138005256653,0.04847517982125282
0.03746110573410988,0.05535620450973511
0.036770667880773544,0.0545789897441864
0.037499621510505676,0.05419759452342987
0.03760011866688728,0.0529869981110096
0.03724450245499611,0.05206819251179695
0.03666746988892555,0.05029076337814331
0.0380864292383194,0.05442487820982933
0.03610013797879219,0.05150696262717247
0.03626691922545433,0.0542871356010437
0.03657114505767822,0.05816628783941269
0.03578575327992439,0.049864571541547775
0.03517405688762665,0.0549863763153553
0.03420949727296829,0.055369652807712555
0.03389659896492958,0.05762702226638794
0.034040022641420364,0.054412271827459335
0.0349445715546608,0.05970100685954094
0.0343456044793129,0.055332817137241364
0.033935707062482834,0.05498512461781502
0.033950988203287125,0.05511099472641945
0.0354287289083004,0.06042267009615898
0.03446109592914581,0.05476254224777222
0.0328756608068943,0.05786508694291115
0.033194128423929214,0.05794999748468399
0.03336384519934654,0.06025637686252594
0.03306826576590538,0.061521049588918686
0.03257037699222565,0.05833834409713745
0.032039742916822433,0.05810689181089401
0.03205789625644684,0.06093742325901985
0.03175555542111397,0.05832595378160477
0.031030811369419098,0.06051409989595413
0.031320970505476,0.05811072885990143
0.032106831669807434,0.05659423768520355
0.03131639584898949,0.06131010130047798
0.030843181535601616,0.06269777566194534
0.03058730624616146,0.06334644556045532
0.030837172642350197,0.06578010320663452
0.03156398609280586,0.056126996874809265
0.03113856166601181,0.061701949685811996
0.030611690133810043,0.06560459733009338
0.031009163707494736,0.05930235981941223
0.030792510136961937,0.0635850578546524
0.030579552054405212,0.06248444318771362
0.030138859525322914,0.061937395483255386
0.030781352892518044,0.0670032873749733
0.03226475790143013,0.059507183730602264
0.030079102143645287,0.06136580556631088
0.031160032376646996,0.0584474541246891
0.029459180310368538,0.06224378943443298
0.030735231935977936,0.06341958791017532
0.030249953269958496,0.06299882382154465
0.029640767723321915,0.06308000534772873
0.02876647561788559,0.06667426973581314
0.029090173542499542,0.06479307264089584
0.029028700664639473,0.06479229778051376
0.02871130220592022,0.06190241128206253
0.029604941606521606,0.06468003988265991
0.028221726417541504,0.06326340138912201
0.027865735813975334,0.06387211382389069
0.0278847087174654,0.06362919509410858
0.027348743751645088,0.06896835565567017
0.027762936428189278,0.06514818966388702
0.02855800837278366,0.06528826802968979
0.02966141700744629,0.06618502736091614
0.02811220847070217,0.06750929355621338
0.027134964242577553,0.06837566941976547
0.02750192955136299,0.06763829290866852
0.0274355448782444,0.06766925007104874
0.027398116886615753,0.06647555530071259
0.02648146077990532,0.06674256175756454
0.026347842067480087,0.0692107081413269
0.026466017588973045,0.06720929592847824
0.026751797646284103,0.06793704628944397
0.028838953003287315,0.06626446545124054
0.028965605422854424,0.06368750333786011
0.02631942741572857,0.06782452762126923
0.02599906548857689,0.06559629738330841
0.025884855538606644,0.07025133073329926
0.026834042742848396,0.06817207485437393
0.0254803616553545,0.0714406818151474
0.025585398077964783,0.06868914514780045
0.025026816874742508,0.0704326257109642
0.02508319541811943,0.0680394172668457
0.024975137785077095,0.06883733719587326
0.024624336510896683,0.06828965246677399
0.024143463000655174,0.06931780278682709
0.024250708520412445,0.07101071625947952
0.024237195029854774,0.06856276094913483
0.024084480479359627,0.06889165937900543
0.023581448942422867,0.06868413090705872
0.02505803294479847,0.07197462767362595
0.02420305274426937,0.07155106961727142
0.024065596982836723,0.06877273321151733
0.030128415673971176,0.07010249048471451
0.027566496282815933,0.07354503870010376
0.025653863325715065,0.06738724559545517
0.024658696725964546,0.07043230533599854
0.02492855116724968,0.06995800137519836
0.023634696379303932,0.07528946548700333
0.02331213839352131,0.07198448479175568
0.022392170503735542,0.07109617441892624
0.022762475535273552,0.07098454236984253
0.022988520562648773,0.07147444784641266
0.022415902465581894,0.07289329171180725
